20:53:30 INFO    train | config: configs\retriever.yaml + ['name=retriever_hn2_mt05', 'data.batch_size=128', 'loss.hard_negatives=2', 'loss.answerable_weight=0.5', 'train.max_steps=12000']
21:04:29 INFO    qar.training.trainer | step   2100 | loss=3.5923 nce=3.2864 acc=0.1823 ans_bce=0.6117 grad_norm=2.9110 lr=0.0003 steps_per_s=2.8206 mem/alloc_mib=6526.1924 mem/reserved_mib=7754.0000
21:05:00 INFO    qar.training.trainer | step   2200 | loss=3.5365 nce=3.2299 acc=0.1895 ans_bce=0.6133 grad_norm=2.9097 lr=0.0003 steps_per_s=3.2643 mem/alloc_mib=6526.1924 mem/reserved_mib=7754.0000
21:05:31 INFO    qar.training.trainer | step   2300 | loss=3.5344 nce=3.2273 acc=0.1920 ans_bce=0.6143 grad_norm=2.8802 lr=0.0003 steps_per_s=3.2646 mem/alloc_mib=6526.1924 mem/reserved_mib=7754.0000
21:06:02 INFO    qar.training.trainer | step   2400 | loss=3.5167 nce=3.2099 acc=0.1948 ans_bce=0.6137 grad_norm=2.8722 lr=0.0003 steps_per_s=3.2043 mem/alloc_mib=6526.1924 mem/reserved_mib=7754.0000
21:06:33 INFO    qar.training.trainer | step   2500 | loss=3.4954 nce=3.1852 acc=0.1958 ans_bce=0.6203 grad_norm=2.8391 lr=0.0003 steps_per_s=3.2135 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:07:04 INFO    qar.training.trainer | step   2600 | loss=3.4258 nce=3.1216 acc=0.2095 ans_bce=0.6083 grad_norm=2.8162 lr=0.0003 steps_per_s=3.2302 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:07:35 INFO    qar.training.trainer | step   2700 | loss=3.4281 nce=3.1223 acc=0.2055 ans_bce=0.6115 grad_norm=2.8226 lr=0.0003 steps_per_s=3.2325 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:08:05 INFO    qar.training.trainer | step   2800 | loss=3.4429 nce=3.1383 acc=0.2031 ans_bce=0.6092 grad_norm=2.8069 lr=0.0003 steps_per_s=3.2845 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:08:36 INFO    qar.training.trainer | step   2900 | loss=3.4170 nce=3.1128 acc=0.2088 ans_bce=0.6083 grad_norm=2.7480 lr=0.0003 steps_per_s=3.2418 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:09:07 INFO    qar.training.trainer | step   3000 | loss=3.3843 nce=3.0802 acc=0.2152 ans_bce=0.6083 grad_norm=2.7329 lr=0.0003 steps_per_s=3.2199 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:09:11 INFO    qar.training.trainer | step   3000 | EVAL val/loss=3.0017 val/mrr=0.3828 val/recall@1=0.2195 val/recall@5=0.5808 val/recall@10=0.7168 val/mean_rank=11.6604 val/ans_bce=0.5845 val/ans_acc=0.6970 val/ans_precision=0.7099 val/ans_recall=0.9093 val/ans_f1=0.7965
21:09:11 INFO    qar.training.trainer | new best val/recall@1=0.2195
21:09:42 INFO    qar.training.trainer | step   3100 | loss=3.3756 nce=3.0708 acc=0.2152 ans_bce=0.6096 grad_norm=2.7414 lr=0.0003 steps_per_s=2.8924 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:10:13 INFO    qar.training.trainer | step   3200 | loss=3.3184 nce=3.0153 acc=0.2235 ans_bce=0.6061 grad_norm=2.7027 lr=0.0003 steps_per_s=3.2491 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:10:43 INFO    qar.training.trainer | step   3300 | loss=3.3111 nce=3.0091 acc=0.2249 ans_bce=0.6041 grad_norm=2.7490 lr=0.0003 steps_per_s=3.2269 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:11:14 INFO    qar.training.trainer | step   3400 | loss=3.2963 nce=2.9922 acc=0.2230 ans_bce=0.6083 grad_norm=2.7108 lr=0.0003 steps_per_s=3.2431 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:11:45 INFO    qar.training.trainer | step   3500 | loss=3.3100 nce=3.0072 acc=0.2216 ans_bce=0.6056 grad_norm=2.6513 lr=0.0003 steps_per_s=3.2363 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:12:16 INFO    qar.training.trainer | step   3600 | loss=3.2923 nce=2.9894 acc=0.2241 ans_bce=0.6058 grad_norm=2.6218 lr=0.0003 steps_per_s=3.2227 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:12:47 INFO    qar.training.trainer | step   3700 | loss=3.2800 nce=2.9777 acc=0.2277 ans_bce=0.6047 grad_norm=2.6474 lr=0.0003 steps_per_s=3.2602 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:13:18 INFO    qar.training.trainer | step   3800 | loss=3.2584 nce=2.9539 acc=0.2331 ans_bce=0.6089 grad_norm=2.6332 lr=0.0002 steps_per_s=3.2604 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:13:48 INFO    qar.training.trainer | step   3900 | loss=3.2637 nce=2.9618 acc=0.2318 ans_bce=0.6037 grad_norm=2.5961 lr=0.0002 steps_per_s=3.2424 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:14:19 INFO    qar.training.trainer | step   4000 | loss=3.2235 nce=2.9216 acc=0.2319 ans_bce=0.6038 grad_norm=2.5645 lr=0.0002 steps_per_s=3.2392 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:14:23 INFO    qar.training.trainer | step   4000 | EVAL val/loss=2.8693 val/mrr=0.4078 val/recall@1=0.2390 val/recall@5=0.6204 val/recall@10=0.7488 val/mean_rank=10.5403 val/ans_bce=0.5784 val/ans_acc=0.7034 val/ans_precision=0.7144 val/ans_recall=0.9128 val/ans_f1=0.8007
21:14:23 INFO    qar.training.trainer | new best val/recall@1=0.2390
21:14:55 INFO    qar.training.trainer | step   4100 | loss=3.1972 nce=2.8988 acc=0.2444 ans_bce=0.5968 grad_norm=2.6005 lr=0.0002 steps_per_s=2.8350 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:15:26 INFO    qar.training.trainer | step   4200 | loss=3.2105 nce=2.9080 acc=0.2394 ans_bce=0.6051 grad_norm=2.5650 lr=0.0002 steps_per_s=3.2054 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:15:57 INFO    qar.training.trainer | step   4300 | loss=3.1998 nce=2.8963 acc=0.2408 ans_bce=0.6070 grad_norm=2.5528 lr=0.0002 steps_per_s=3.2436 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:16:28 INFO    qar.training.trainer | step   4400 | loss=3.2218 nce=2.9176 acc=0.2358 ans_bce=0.6083 grad_norm=2.5586 lr=0.0002 steps_per_s=3.2378 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:16:58 INFO    qar.training.trainer | step   4500 | loss=3.2014 nce=2.8994 acc=0.2416 ans_bce=0.6041 grad_norm=2.5645 lr=0.0002 steps_per_s=3.2497 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:17:29 INFO    qar.training.trainer | step   4600 | loss=3.1643 nce=2.8643 acc=0.2508 ans_bce=0.5999 grad_norm=2.5476 lr=0.0002 steps_per_s=3.2396 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:18:00 INFO    qar.training.trainer | step   4700 | loss=3.1568 nce=2.8565 acc=0.2482 ans_bce=0.6006 grad_norm=2.5776 lr=0.0002 steps_per_s=3.2275 mem/alloc_mib=6550.6289 mem/reserved_mib=7754.0000
21:18:31 INFO    qar.training.trainer | step   4800 | loss=3.1747 nce=2.8761 acc=0.2478 ans_bce=0.5972 grad_norm=2.5257 lr=0.0002 steps_per_s=3.2429 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:19:02 INFO    qar.training.trainer | step   4900 | loss=3.1352 nce=2.8348 acc=0.2480 ans_bce=0.6010 grad_norm=2.5151 lr=0.0002 steps_per_s=3.2454 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:19:33 INFO    qar.training.trainer | step   5000 | loss=3.1377 nce=2.8395 acc=0.2477 ans_bce=0.5964 grad_norm=2.5080 lr=0.0002 steps_per_s=3.2535 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
