17:54:18 INFO    train | config: configs\retriever.yaml + ['name=retriever_hn2_mt01', 'data.batch_size=128', 'loss.hard_negatives=2', 'loss.answerable_weight=0.1', 'train.max_steps=12000']
17:54:23 INFO    qar.training.trainer | run 'retriever_hn2_mt01' | device=cuda (NVIDIA GeForce RTX 5060 Laptop GPU, 8.0 GiB, sm_120) amp=bfloat16
17:54:23 INFO    qar.training.trainer | trainable parameters: 45.97M
17:54:23 INFO    qar.tasks.retriever | dedup sampler on: 704201 rows, 638306 distinct questions
17:54:57 INFO    qar.training.trainer | step    100 | loss=4.9764 nce=4.9083 acc=0.0102 ans_bce=0.6801 grad_norm=2.7863 lr=0.0000 steps_per_s=2.9429 mem/alloc_mib=6425.5386 mem/reserved_mib=7754.0000
17:55:31 INFO    qar.training.trainer | step    200 | loss=4.8415 nce=4.7757 acc=0.0210 ans_bce=0.6582 grad_norm=1.8934 lr=0.0001 steps_per_s=2.9847 mem/alloc_mib=6425.5386 mem/reserved_mib=7754.0000
17:56:05 INFO    qar.training.trainer | step    300 | loss=4.7350 nce=4.6699 acc=0.0314 ans_bce=0.6511 grad_norm=2.6652 lr=0.0001 steps_per_s=2.9551 mem/alloc_mib=6425.5386 mem/reserved_mib=7754.0000
17:56:38 INFO    qar.training.trainer | step    400 | loss=4.5872 nce=4.5221 acc=0.0417 ans_bce=0.6506 grad_norm=3.5886 lr=0.0002 steps_per_s=2.9695 mem/alloc_mib=6425.5386 mem/reserved_mib=7754.0000
17:57:12 INFO    qar.training.trainer | step    500 | loss=4.4737 nce=4.4083 acc=0.0491 ans_bce=0.6541 grad_norm=3.9795 lr=0.0002 steps_per_s=2.9697 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
17:57:45 INFO    qar.training.trainer | step    600 | loss=4.3306 nce=4.2655 acc=0.0644 ans_bce=0.6515 grad_norm=3.8288 lr=0.0003 steps_per_s=2.9986 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
17:58:19 INFO    qar.training.trainer | step    700 | loss=4.2029 nce=4.1384 acc=0.0785 ans_bce=0.6451 grad_norm=3.5780 lr=0.0003 steps_per_s=3.0085 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
17:58:52 INFO    qar.training.trainer | step    800 | loss=4.0930 nce=4.0285 acc=0.0923 ans_bce=0.6448 grad_norm=3.4728 lr=0.0003 steps_per_s=3.0228 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
17:59:24 INFO    qar.training.trainer | step    900 | loss=3.9521 nce=3.8879 acc=0.1050 ans_bce=0.6423 grad_norm=3.3740 lr=0.0003 steps_per_s=3.0516 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
17:59:58 INFO    qar.training.trainer | step   1000 | loss=3.8763 nce=3.8122 acc=0.1121 ans_bce=0.6408 grad_norm=3.3400 lr=0.0003 steps_per_s=2.9562 mem/alloc_mib=6449.2412 mem/reserved_mib=7754.0000
